class,file,length,mean,std,min,max,status,reason
F,F001.txt,4097,28.570417378569687,28.62507053383784,-64.0,123.0,VALID,
F,F002.txt,4097,31.778374420307543,133.47572179796714,-269.0,893.0,VALID,
F,F003.txt,4097,-25.015865267268733,71.95809056217087,-253.0,181.0,VALID,
F,F004.txt,4097,-35.25213570905541,37.80157249426841,-177.0,76.0,VALID,
F,F005.txt,4097,-15.550646814742494,84.28527598177443,-401.0,295.0,VALID,
F,F006.txt,4097,-33.69123749084696,22.86761048579896,-114.0,45.0,VALID,
F,F007.txt,4097,-27.657310226995364,38.71827632452503,-180.0,131.0,VALID,
F,F008.txt,4097,-17.464486209421526,103.7131790120796,-275.0,752.0,VALID,
F,F009.txt,4097,-6.316817183304857,440.0174760689693,-569.0,2047.0,VALID,
F,F010.txt,4097,26.902855748108372,138.8885405171625,-250.0,928.0,VALID,
F,F011.txt,4097,-32.22943617280937,56.85161397634454,-273.0,105.0,VALID,
F,F012.txt,4097,-2.3209665608982184,41.7157440562384,-152.0,173.0,VALID,
F,F013.txt,4097,15.009763241396143,24.4850784160549,-90.0,89.0,VALID,
F,F014.txt,4097,-16.21308274347083,29.295857196970434,-115.0,84.0,VALID,
F,F015.txt,4097,20.86185013424457,29.52686794226335,-84.0,103.0,VALID,
F,F016.txt,4097,0.32853307298022943,52.46512793863856,-174.0,180.0,VALID,
F,F017.txt,4097,-3.758847937515255,37.29923637767131,-124.0,105.0,VALID,
F,F018.txt,4097,1.4915792042958262,63.69240512002803,-262.0,228.0,VALID,
F,F019.txt,4097,-28.3060776177691,32.09002385652518,-298.0,65.0,VALID,
F,F020.txt,4097,13.973395167195509,38.40409888091466,-152.0,226.0,VALID,
F,F021.txt,4097,-21.464242128386623,143.14533359326433,-764.0,647.0,VALID,
F,F022.txt,4097,-16.655845740785942,69.81860933199734,-250.0,189.0,VALID,
F,F023.txt,4097,-7.76055650475958,65.18043169608244,-281.0,239.0,VALID,
F,F024.txt,4097,12.0136685379546,77.0749759939763,-265.0,245.0,VALID,
F,F025.txt,4097,6.03539175006102,91.16599117455057,-306.0,327.0,VALID,
F,F026.txt,4097,2.8918721015377105,20.675303423945067,-95.0,80.0,VALID,
F,F027.txt,4097,-40.00488162069807,62.59034164362387,-248.0,182.0,VALID,
F,F028.txt,4097,-34.71320478398828,39.51845243547741,-207.0,97.0,VALID,
F,F029.txt,4097,-13.156700024408103,103.86813305737279,-277.0,637.0,VALID,
F,F030.txt,4097,-38.859409323895534,143.95654110211552,-288.0,769.0,VALID,
F,F031.txt,4097,-9.058579448376861,89.12769844144124,-424.0,412.0,VALID,
F,F032.txt,4097,-19.669758359775447,82.16169336879219,-359.0,326.0,VALID,
F,F033.txt,4097,-10.485477178423237,41.67295810382077,-200.0,129.0,VALID,
F,F034.txt,4097,1.4515499145716377,24.385694621775453,-96.0,80.0,VALID,
F,F035.txt,4097,-9.117647058823529,41.64152871089086,-144.0,109.0,VALID,
F,F036.txt,4097,-4.3365877471320475,37.35263239797189,-167.0,104.0,VALID,
F,F037.txt,4097,23.210397852086892,47.722692365606164,-156.0,201.0,VALID,
F,F038.txt,4097,-11.993409812057603,54.603934440200824,-210.0,132.0,VALID,
F,F039.txt,4097,-16.458140102514033,61.76611714364191,-240.0,179.0,VALID,
F,F040.txt,4097,0.7815474737612887,30.395262391255923,-97.0,103.0,VALID,
F,F041.txt,4097,-9.065413717354161,74.83737876695542,-509.0,242.0,VALID,
F,F042.txt,4097,13.31828166951428,26.064811733750897,-73.0,102.0,VALID,
F,F043.txt,4097,22.897730046375397,64.5325962573511,-211.0,248.0,VALID,
F,F044.txt,4097,-72.59604588723457,51.809305757096475,-252.0,123.0,VALID,
F,F045.txt,4097,-12.377593360995851,45.249070326433525,-165.0,192.0,VALID,
F,F046.txt,4097,23.180864046863558,46.527336205048655,-128.0,166.0,VALID,
F,F047.txt,4097,54.94630217232121,57.07758463637333,-119.0,244.0,VALID,
F,F048.txt,4097,12.056870881132536,63.21867111939475,-202.0,204.0,VALID,
F,F049.txt,4097,-8.256773248718575,40.32232796990347,-169.0,140.0,VALID,
F,F050.txt,4097,7.2946058091286305,66.38279500359435,-305.0,198.0,VALID,
F,F051.txt,4097,-9.123505003661215,73.22227105125114,-246.0,219.0,VALID,
F,F052.txt,4097,-17.02782523797901,38.39336508790889,-182.0,136.0,VALID,
F,F053.txt,4097,-5.089089577739809,46.522970047929846,-164.0,147.0,VALID,
F,F054.txt,4097,-17.196973395167195,66.13041021425921,-300.0,219.0,VALID,
F,F055.txt,4097,-2.2858188918721014,59.371343122776786,-254.0,186.0,VALID,
F,F056.txt,4097,10.959726629240908,39.019869877736966,-125.0,132.0,VALID,
F,F057.txt,4097,28.16060532096656,49.2168303824713,-163.0,193.0,VALID,
F,F058.txt,4097,-4.462533561142299,33.38072803833747,-114.0,94.0,VALID,
F,F059.txt,4097,-7.343910178179155,44.14526697373474,-167.0,151.0,VALID,
F,F060.txt,4097,-21.078594093238955,315.03643481058657,-1147.0,1048.0,VALID,
F,F061.txt,4097,6.609470344154259,103.5997102506103,-425.0,355.0,VALID,
F,F062.txt,4097,-8.744691237490846,60.32501052271266,-277.0,188.0,VALID,
F,F063.txt,4097,-9.623627044178667,44.62942535199983,-125.0,193.0,VALID,
F,F064.txt,4097,-16.791554796192337,67.65910471991268,-471.0,209.0,VALID,
F,F065.txt,4097,-12.618989504515499,52.45753130236334,-227.0,198.0,VALID,
F,F066.txt,4097,-16.297778862582376,54.42308586237475,-265.0,99.0,VALID,
F,F067.txt,4097,-15.857700756651209,48.63291949958629,-195.0,170.0,VALID,
F,F068.txt,4097,28.35513790578472,34.21294096317989,-89.0,144.0,VALID,
F,F069.txt,4097,-39.81742738589212,26.199901043048293,-148.0,49.0,VALID,
F,F070.txt,4097,2.022943617280937,112.6577020596722,-242.0,727.0,VALID,
F,F071.txt,4097,-7.480839638760068,25.047997595164606,-97.0,75.0,VALID,
F,F072.txt,4097,-9.988284110324628,29.14722980039737,-102.0,288.0,VALID,
F,F073.txt,4097,-30.079326336343666,186.07402267199137,-676.0,540.0,VALID,
F,F074.txt,4097,-0.3353673419575299,66.89802075313135,-248.0,236.0,VALID,
F,F075.txt,4097,28.803758847937516,23.36365638896847,-46.0,94.0,VALID,
F,F076.txt,4097,-51.76470588235294,223.62343538507355,-356.0,1116.0,VALID,
F,F077.txt,4097,-28.534049304369052,49.89204234850644,-230.0,153.0,VALID,
F,F078.txt,4097,-6.658286551134977,45.19233326445075,-168.0,160.0,VALID,
F,F079.txt,4097,-44.78081523065658,53.08957152635186,-229.0,157.0,VALID,
F,F080.txt,4097,-7.415670002440811,46.05638295642643,-187.0,157.0,VALID,
F,F081.txt,4097,22.918476934342202,24.26002643084311,-61.0,106.0,VALID,
F,F082.txt,4097,-37.65608982182084,75.84948488277887,-249.0,174.0,VALID,
F,F083.txt,4097,-38.078594093238955,24.191736207488823,-119.0,31.0,VALID,
F,F084.txt,4097,10.873077861850135,46.92310610325566,-147.0,151.0,VALID,
F,F085.txt,4097,-41.12594581401025,19.279169037833316,-118.0,25.0,VALID,
F,F086.txt,4097,22.623382963143765,142.3319625782356,-453.0,583.0,VALID,
F,F087.txt,4097,27.866487673907738,23.626342165462447,-70.0,92.0,VALID,
F,F088.txt,4097,0.35855504027337076,20.6917252527084,-63.0,63.0,VALID,
F,F089.txt,4097,55.125457651940444,60.628144535992554,-176.0,308.0,VALID,
F,F090.txt,4097,-33.78789358066878,75.6904314662906,-259.0,271.0,VALID,
F,F091.txt,4097,5.626311935562607,88.11481914570965,-291.0,259.0,VALID,
F,F092.txt,4097,-31.934830363680742,64.1870428553672,-428.0,156.0,VALID,
F,F093.txt,4097,-4.507932633634367,30.589369749343433,-106.0,104.0,VALID,
F,F094.txt,4097,-44.61020258725897,42.943124124541185,-209.0,125.0,VALID,
F,F095.txt,4097,-2.580180619965829,63.626392100313154,-227.0,240.0,VALID,
F,F096.txt,4097,12.86599951183793,65.52834301118527,-202.0,263.0,VALID,
F,F097.txt,4097,54.505247742250425,71.58952320930075,-183.0,291.0,VALID,
F,F098.txt,4097,12.34830363680742,78.95458937565455,-597.0,206.0,VALID,
F,F099.txt,4097,-8.686355870148889,25.649179174191392,-104.0,70.0,VALID,
F,F100.txt,4097,-36.14742494508177,29.230389308049162,-157.0,45.0,VALID,
N,N001.TXT,4097,-17.790090309982915,49.32734124702061,-226.0,132.0,VALID,
N,N002.TXT,4097,-0.0976324139614352,66.82581291622776,-277.0,251.0,VALID,
N,N003.TXT,4097,-14.713204783988283,45.73320988740154,-198.0,128.0,VALID,
N,N004.TXT,4097,27.979985355137906,46.32282209045557,-116.0,244.0,VALID,
N,N005.TXT,4097,8.336343666097145,125.02037375426404,-374.0,623.0,VALID,
N,N006.TXT,4097,12.091286307053942,55.578893386089035,-247.0,201.0,VALID,
N,N007.TXT,4097,-4.089333658774713,47.728064066710154,-181.0,196.0,VALID,
N,N008.TXT,4097,-37.86014156700024,38.705016678897266,-220.0,59.0,VALID,
N,N009.TXT,4097,27.88308518428118,63.037042931116744,-217.0,280.0,VALID,
N,N010.TXT,4097,-7.31022699536246,35.941022057105876,-138.0,129.0,VALID,
N,N011.TXT,4097,-3.938491579204296,22.746904184042457,-117.0,68.0,VALID,
N,N012.TXT,4097,-8.954600927507933,59.560311404483954,-224.0,282.0,VALID,
N,N013.TXT,4097,18.819868196241153,36.371107654105515,-134.0,121.0,VALID,
N,N014.TXT,4097,-60.83915059799853,35.659945061341666,-187.0,74.0,VALID,
N,N015.TXT,4097,-4.496704906028802,70.98743938219334,-299.0,256.0,VALID,
N,N016.TXT,4097,28.515743226751283,43.980922136479506,-165.0,149.0,VALID,
N,N017.TXT,4097,-52.63216988040029,67.39240003246398,-319.0,189.0,VALID,
N,N018.TXT,4097,24.84549670490603,33.962064435212696,-149.0,138.0,VALID,
N,N019.TXT,4097,27.576275323407373,56.23118276410685,-136.0,272.0,VALID,
N,N020.TXT,4097,-38.475958018061995,35.86161086007321,-171.0,81.0,VALID,
N,N021.TXT,4097,-4.025628508664877,53.73040011720861,-194.0,174.0,VALID,
N,N022.TXT,4097,-19.63314620453991,50.58955721954259,-239.0,143.0,VALID,
N,N023.TXT,4097,-4.4488650231876985,27.022737590655463,-116.0,66.0,VALID,
N,N024.TXT,4097,8.385403954112766,67.38538746296135,-275.0,198.0,VALID,
N,N025.TXT,4097,-16.753478154747377,42.97767501737411,-201.0,103.0,VALID,
N,N026.TXT,4097,-13.67830119599707,25.84453436035782,-100.0,62.0,VALID,
N,N027.TXT,4097,3.3024164022455453,28.418609319335328,-93.0,100.0,VALID,
N,N028.TXT,4097,-6.214791310715158,18.751909730401263,-103.0,70.0,VALID,
N,N029.TXT,4097,28.571881864779108,55.30027001297231,-155.0,195.0,VALID,
N,N030.TXT,4097,-32.00536978276788,51.99977441668456,-233.0,145.0,VALID,
N,N031.TXT,4097,0.296802538442763,43.90786581611054,-175.0,117.0,VALID,
N,N032.TXT,4097,-37.249450817671466,37.12746799845973,-167.0,108.0,VALID,
N,N033.TXT,4097,-13.412985111056871,66.64574748325053,-214.0,214.0,VALID,
N,N034.TXT,4097,-9.426897730046376,67.27395340983291,-237.0,239.0,VALID,
N,N035.TXT,4097,-37.86502318769831,41.867231942480466,-201.0,115.0,VALID,
N,N036.TXT,4097,-0.8308518428118136,61.557087534323294,-258.0,168.0,VALID,
N,N037.TXT,4097,-16.90602880156212,52.70021233406747,-256.0,220.0,VALID,
N,N038.TXT,4097,28.237246765926287,46.041499984322044,-159.0,156.0,VALID,
N,N039.TXT,4097,8.488162069807176,59.97941571049615,-176.0,233.0,VALID,
N,N040.TXT,4097,-14.545521113009519,55.92680578793414,-213.0,184.0,VALID,
N,N041.TXT,4097,-4.7544544788869905,29.086872068482705,-130.0,110.0,VALID,
N,N042.TXT,4097,-8.681474249450817,72.68360778126953,-321.0,202.0,VALID,
N,N043.TXT,4097,-8.832804491091043,66.3229656696684,-207.0,212.0,VALID,
N,N044.TXT,4097,-7.77959482548206,45.87913777438519,-179.0,159.0,VALID,
N,N045.TXT,4097,-48.907981449841344,43.75415126302326,-222.0,96.0,VALID,
N,N046.TXT,4097,-8.651452282157676,30.27853881997473,-128.0,70.0,VALID,
N,N047.TXT,4097,-15.781791554796193,66.73243730991287,-261.0,231.0,VALID,
N,N048.TXT,4097,-9.385403954112766,53.07871857371367,-215.0,167.0,VALID,
N,N049.TXT,4097,54.470344154259216,41.324024996806884,-87.0,208.0,VALID,
N,N050.TXT,4097,0.37710519892604344,96.12010220274355,-412.0,399.0,VALID,
N,N051.TXT,4097,14.721747620209909,72.18468974990625,-239.0,320.0,VALID,
N,N052.TXT,4097,5.099096900170856,68.13580991870317,-252.0,255.0,VALID,
N,N053.TXT,4097,-32.35562606785453,57.461946004874456,-222.0,152.0,VALID,
N,N054.TXT,4097,-3.2626311935562606,62.857338558830754,-205.0,179.0,VALID,
N,N055.TXT,4097,-17.755918965096413,38.33339710234634,-144.0,101.0,VALID,
N,N056.TXT,4097,-5.488162069807176,70.28709506341195,-290.0,262.0,VALID,
N,N057.TXT,4097,-8.549426409567976,19.067959349379475,-98.0,69.0,VALID,
N,N058.TXT,4097,-38.26433976080059,52.98234428989785,-263.0,104.0,VALID,
N,N059.TXT,4097,-8.377593360995851,18.60694545336107,-85.0,46.0,VALID,
N,N060.TXT,4097,-7.396143519648524,68.92477683581309,-257.0,347.0,VALID,
N,N061.TXT,4097,-3.854771784232365,31.159132333151536,-119.0,106.0,VALID,
N,N062.TXT,4097,14.933121796436417,32.573814245666114,-131.0,112.0,VALID,
N,N063.TXT,4097,-16.8572125945814,32.50393216807885,-201.0,99.0,VALID,
N,N064.TXT,4097,-8.330241640224555,48.914819345858504,-201.0,168.0,VALID,
N,N065.TXT,4097,-16.16670734683915,43.35055897963983,-221.0,97.0,VALID,
N,N066.TXT,4097,-7.594337319990236,75.26756404243508,-309.0,201.0,VALID,
N,N067.TXT,4097,-11.803270685867709,28.357232630555885,-137.0,68.0,VALID,
N,N068.TXT,4097,-36.35245301440078,76.39697758099888,-341.0,217.0,VALID,
N,N069.TXT,4097,6.320722479863314,42.71148638523813,-145.0,183.0,VALID,
N,N070.TXT,4097,27.318281669514278,47.613715380001175,-164.0,251.0,VALID,
N,N071.TXT,4097,-8.737856968513546,82.26554166519806,-389.0,219.0,VALID,
N,N072.TXT,4097,-7.195997071027581,46.644579233498725,-204.0,149.0,VALID,
N,N073.TXT,4097,-16.94971930680986,40.37308207162561,-168.0,126.0,VALID,
N,N074.TXT,4097,-3.225042714181108,20.929128936296006,-72.0,64.0,VALID,
N,N075.TXT,4097,25.62362704417867,46.63488715805581,-144.0,164.0,VALID,
N,N076.TXT,4097,-32.61703685623627,45.76650135241255,-183.0,127.0,VALID,
N,N077.TXT,4097,-73.75909201855016,64.66246871707233,-322.0,166.0,VALID,
N,N078.TXT,4097,6.088601415670002,71.13399752253338,-337.0,224.0,VALID,
N,N079.TXT,4097,5.303148645350256,73.376156941234,-260.0,223.0,VALID,
N,N080.TXT,4097,-73.7556748840615,72.2450614013868,-331.0,319.0,VALID,
N,N081.TXT,4097,16.56187454234806,29.458677158812815,-112.0,92.0,VALID,
N,N082.TXT,4097,27.598974859653406,42.33301879475273,-128.0,236.0,VALID,
N,N083.TXT,4097,-75.96680497925311,19.57600039403313,-158.0,-25.0,VALID,
N,N084.TXT,4097,-6.978520868928484,40.43646456535723,-207.0,188.0,VALID,
N,N085.TXT,4097,-9.690017085672443,56.9520614278219,-205.0,194.0,VALID,
N,N086.TXT,4097,-16.462533561142298,33.236111775022735,-139.0,110.0,VALID,
N,N087.TXT,4097,19.65096412008787,30.93349089330071,-73.0,118.0,VALID,
N,N088.TXT,4097,12.322919209177448,32.927282763381896,-107.0,116.0,VALID,
N,N089.TXT,4097,-41.6599951183793,65.85320205534526,-336.0,160.0,VALID,
N,N090.TXT,4097,-12.512326092262631,31.067177944045163,-137.0,88.0,VALID,
N,N091.TXT,4097,-7.399072492067367,94.14208606763809,-287.0,418.0,VALID,
N,N092.TXT,4097,-37.617525018306075,74.55366443095797,-355.0,232.0,VALID,
N,N093.TXT,4097,-9.816206980717599,26.47644885779112,-115.0,73.0,VALID,
N,N094.TXT,4097,-8.62313888210886,77.27074104493805,-288.0,212.0,VALID,
N,N095.TXT,4097,-3.2626311935562606,70.10499014590555,-228.0,240.0,VALID,
N,N096.TXT,4097,-3.30680986087381,70.67695494269616,-248.0,254.0,VALID,
N,N097.TXT,4097,-76.35025628508664,19.58484406920962,-162.0,-1.0,VALID,
N,N098.TXT,4097,-31.378813766170367,60.14361642184886,-280.0,206.0,VALID,
N,N099.TXT,4097,-0.7842323651452282,67.07215132512685,-242.0,255.0,VALID,
N,N100.TXT,4097,-6.296802538442763,51.03568099108109,-173.0,153.0,VALID,
O,O001.txt,4097,5.156944105443007,50.530802417011486,-164.0,225.0,VALID,
O,O002.txt,4097,8.333658774713205,47.723705682552826,-143.0,195.0,VALID,
O,O003.txt,4097,-3.067122284598487,57.770151615807485,-254.0,175.0,VALID,
O,O004.txt,4097,8.916524286062973,64.9889186237715,-272.0,189.0,VALID,
O,O005.txt,4097,-4.037588479375152,56.41955142160497,-211.0,194.0,VALID,
O,O006.txt,4097,56.79448376861118,51.87498574262646,-119.0,330.0,VALID,
O,O007.txt,4097,-19.586038564803516,85.33883408352348,-289.0,287.0,VALID,
O,O008.txt,4097,9.422016109348304,50.615907179380244,-196.0,159.0,VALID,
O,O009.txt,4097,11.175738345130583,63.52328763034247,-237.0,213.0,VALID,
O,O010.txt,4097,5.906028801562119,91.43230792322318,-287.0,285.0,VALID,
O,O011.txt,4097,-18.54674151818404,103.14150096414748,-352.0,317.0,VALID,
O,O012.txt,4097,-1.5482060043934587,46.02047365509327,-178.0,213.0,VALID,
O,O013.txt,4097,-51.78301195997071,55.80941473585795,-226.0,176.0,VALID,
O,O014.txt,4097,-50.99365389309251,97.2020758656921,-392.0,251.0,VALID,
O,O015.txt,4097,6.190139126189895,96.61896818855,-295.0,348.0,VALID,
O,O016.txt,4097,56.38979741274103,41.98337157470856,-108.0,207.0,VALID,
O,O017.txt,4097,-18.490114718086403,102.87595921800522,-424.0,329.0,VALID,
O,O018.txt,4097,8.519892604344642,51.22438072402257,-148.0,208.0,VALID,
O,O019.txt,4097,-51.902367586038565,75.4635418118962,-302.0,278.0,VALID,
O,O020.txt,4097,4.7993653893092505,62.43839644665675,-180.0,222.0,VALID,
O,O021.txt,4097,-27.3470832316329,60.683444700661575,-208.0,186.0,VALID,
O,O022.txt,4097,-18.674395899438615,68.06409785399363,-228.0,289.0,VALID,
O,O023.txt,4097,-6.026116670734684,46.351276794837595,-188.0,146.0,VALID,
O,O024.txt,4097,-52.311935562606784,71.14828483210198,-343.0,212.0,VALID,
O,O025.txt,4097,4.90407615328289,65.68408222716485,-259.0,300.0,VALID,
O,O026.txt,4097,-52.261654869416645,45.76064881245008,-199.0,138.0,VALID,
O,O027.txt,4097,-51.714181108127896,68.56331788182742,-258.0,242.0,VALID,
O,O028.txt,4097,56.486209421527946,46.51518099167085,-98.0,228.0,VALID,
O,O029.txt,4097,2.873810104954845,41.287852758527855,-164.0,138.0,VALID,
O,O030.txt,4097,-29.007078350012204,59.18744563629141,-240.0,186.0,VALID,
O,O031.txt,4097,-14.195752989992677,43.88037359953828,-191.0,117.0,VALID,
O,O032.txt,4097,-2.4849890163534294,41.189375319436394,-157.0,171.0,VALID,
O,O033.txt,4097,7.6043446424212835,50.24478921944503,-177.0,200.0,VALID,
O,O034.txt,4097,-13.83060776177691,61.90369515786099,-260.0,201.0,VALID,
O,O035.txt,4097,5.288991945325848,89.27481524449337,-260.0,278.0,VALID,
O,O036.txt,4097,-5.549914571637784,45.91762328890039,-178.0,173.0,VALID,
O,O037.txt,4097,-18.782767878935807,97.90172886307658,-303.0,294.0,VALID,
O,O038.txt,4097,-51.380522333414696,97.25913811919727,-396.0,295.0,VALID,
O,O039.txt,4097,4.809616792775201,89.22520549626223,-259.0,313.0,VALID,
O,O040.txt,4097,-4.797656822064925,63.12687623875076,-179.0,247.0,VALID,
O,O041.txt,4097,-19.30900659018794,98.36695232472677,-324.0,360.0,VALID,
O,O042.txt,4097,-75.99536246033684,31.7506797656576,-207.0,31.0,VALID,
O,O043.txt,4097,-2.3116914815718816,37.75724708049299,-158.0,153.0,VALID,
O,O044.txt,4097,-3.0707835001220407,40.22336789200141,-141.0,156.0,VALID,
O,O045.txt,4097,-50.904564315352694,75.95229237022245,-279.0,245.0,VALID,
O,O046.txt,4097,6.600927507932633,66.67723873709075,-225.0,255.0,VALID,
O,O047.txt,4097,56.33024164022456,39.017060608982234,-84.0,199.0,VALID,
O,O048.txt,4097,-27.613131559677814,54.975832472962274,-217.0,218.0,VALID,
O,O049.txt,4097,-15.723456187454234,45.47842838470547,-191.0,160.0,VALID,
O,O050.txt,4097,-6.124969489870637,39.819926667805824,-144.0,141.0,VALID,
