mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.8302810192108154,0.012655872202151574,0.006025981903076172,0.0011137598348438594,0.8,0,0.0,15,300,5,-1,0.03,0.9,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 300, 'min_child_samples': 5, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.825,0.925,0.8375,0.8375,0.875,0.86,0.0365718470958195,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.28117690086364744,0.004044485087946721,0.004251813888549805,0.00010889112897006141,1.0,1,0.5,31,200,20,-1,0.03,0.8,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.5, 'num_leaves': 31, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.825,0.85,0.85,0.8625,0.8375,0.8450000000000001,0.012747548783981983,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.6223490715026856,0.00968422108512152,0.005396127700805664,0.0001500845239501393,0.9,3,0.0,15,300,5,8,0.05,1.0,"{'subsample': 0.9, 'reg_lambda': 3, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 300, 'min_child_samples': 5, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.825,0.85,0.8125,0.85,0.85,0.8375,0.015811388300841892,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.17865724563598634,0.05037736895958876,0.0034246921539306642,7.583935729041964e-05,1.0,0,0.5,15,100,5,6,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0.5, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 5, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.8125,0.875,0.8125,0.8375,0.85,0.8375,0.023717082451262844,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.39099369049072263,0.005033465813504952,0.004929685592651367,0.00017792024444654558,0.9,3,0.5,15,300,10,8,0.07,0.8,"{'subsample': 0.9, 'reg_lambda': 3, 'reg_alpha': 0.5, 'num_leaves': 15, 'n_estimators': 300, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.07, 'colsample_bytree': 0.8}",0.8375,0.9,0.85,0.85,0.8625,0.86,0.021505813167606577,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.48018369674682615,0.008460819756418094,0.0046966552734375,0.0001752252574349437,0.9,0,0.0,31,150,10,6,0.05,0.8,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 31, 'n_estimators': 150, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.825,0.9,0.825,0.85,0.8375,0.8474999999999999,0.02783882181415013,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.19250116348266602,0.003913498692303743,0.003795814514160156,0.0003083339975889002,1.0,0,0.0,15,100,10,4,0.03,0.9,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.8375,0.875,0.7875,0.825,0.8375,0.8325000000000001,0.028062430400804573,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7080811023712158,0.012952799041707829,0.0054204463958740234,9.152131236794297e-05,0.8,3,0.1,15,300,5,6,0.05,1.0,"{'subsample': 0.8, 'reg_lambda': 3, 'reg_alpha': 0.1, 'num_leaves': 15, 'n_estimators': 300, 'min_child_samples': 5, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.825,0.8625,0.8125,0.85,0.85,0.8400000000000001,0.01837117307087385,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.371471643447876,0.04036235540363777,0.004318046569824219,0.00014223880587750526,1.0,0,0.1,15,300,10,6,0.05,0.9,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0.1, 'num_leaves': 15, 'n_estimators': 300, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.8375,0.9,0.825,0.8375,0.875,0.8550000000000001,0.028062430400804573,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.18572759628295898,0.0032797601263831987,0.0037180900573730467,0.00021894134805270897,0.9,1,0.1,63,100,10,4,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.1, 'num_leaves': 63, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.85,0.9,0.8625,0.8125,0.8125,0.8474999999999999,0.03297726489568231,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.29059419631958006,0.0035513322623492954,0.0038370609283447264,6.958317200784197e-05,0.8,1,0.1,63,150,10,-1,0.03,0.9,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.1, 'num_leaves': 63, 'n_estimators': 150, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.85,0.85,0.8375,0.85,0.8375,0.8450000000000001,0.006123724356957924,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3060122489929199,0.006002824001624433,0.004010677337646484,0.00020172855077742554,1.0,1,0.5,15,300,5,6,0.07,1.0,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.5, 'num_leaves': 15, 'n_estimators': 300, 'min_child_samples': 5, 'max_depth': 6, 'learning_rate': 0.07, 'colsample_bytree': 1.0}",0.8125,0.875,0.8125,0.8375,0.825,0.8324999999999999,0.023184046238739264,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.14428305625915527,0.004253614282226089,0.0034662723541259766,0.00017874866565979457,1.0,0,0.1,63,100,20,4,0.03,0.8,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0.1, 'num_leaves': 63, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.8375,0.8625,0.825,0.8125,0.8375,0.8350000000000002,0.01658312395177702,17,1.0,0.99375,0.996875,1.0,1.0,0.9981249999999999,0.0024999999999999966
0.21658835411071778,0.002523481555019607,0.003880596160888672,0.00018519109071162164,0.9,1,0.1,31,150,20,-1,0.03,0.8,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 150, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.8625,0.8625,0.8125,0.85,0.85,0.8474999999999999,0.01837117307087385,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.334934139251709,0.007918409969955879,0.004395484924316406,0.00014790755388394757,0.8,1,0.0,15,200,10,6,0.03,0.8,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 200, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.8375,0.8625,0.85,0.825,0.8375,0.8425,0.012747548783981983,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.23557724952697753,0.04841580615616153,0.0042435646057128905,0.00028273433537968716,0.9,0,0.5,31,150,10,4,0.05,0.8,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0.5, 'num_leaves': 31, 'n_estimators': 150, 'min_child_samples': 10, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.85,0.9,0.825,0.8375,0.8375,0.85,0.0262202212042538,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.24940252304077148,0.0075488653314017915,0.004209041595458984,0.0001380793126968653,0.9,0,0.5,63,200,20,6,0.05,1.0,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0.5, 'num_leaves': 63, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.825,0.9,0.8625,0.8375,0.8375,0.8525,0.026692695630078294,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3057103157043457,0.006316539899363734,0.004179573059082032,0.0006208635617971605,1.0,0,0.1,63,300,5,-1,0.07,1.0,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0.1, 'num_leaves': 63, 'n_estimators': 300, 'min_child_samples': 5, 'max_depth': -1, 'learning_rate': 0.07, 'colsample_bytree': 1.0}",0.8375,0.9,0.8125,0.8125,0.8625,0.845,0.03316624790355401,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.221490478515625,0.0013435792604736961,0.003650665283203125,0.00016188231759864039,0.8,0,0.5,63,100,5,6,0.03,0.9,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.5, 'num_leaves': 63, 'n_estimators': 100, 'min_child_samples': 5, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.8125,0.8375,0.8,0.825,0.825,0.8200000000000001,0.012747548783981948,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.17443432807922363,0.003637963299137803,0.0036630630493164062,8.621302853204059e-05,1.0,1,0.0,15,100,10,-1,0.05,0.9,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.85,0.875,0.8375,0.85,0.85,0.8525,0.012247448713915888,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
